Advertiser ID,Advertiser Name,Primary Region,Membership Status,Datafeed Format,Feed ID,Feed Name,Language,Vertical,Last Imported,Last Checked,No of products,URL
"116677","Atenai London Affiliation Marketing","GB","Not Joined","Google","F208","","English","Retail","2026-07-12 14:50:31","2026-07-12 14:50:31","38","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F208.csv.gz"
"113464","BRUH. Skincare","US","Not Joined","Google","F224","","English","Retail","2026-07-12 15:00:19","2026-07-12 15:00:19","375","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F224.csv.gz"
"30995","ZONLIHOME (US)","US","Not Joined","Google","F231","","English","Retail","2026-02-28 03:44:48","2026-02-28 03:44:48","538","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F231.csv.gz"
"116701","LUXDRAPE","US","Not Joined","Google","F248","","English","Retail","2026-07-12 15:28:49","2026-07-12 15:28:49","742","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F248.csv.gz"
"116773","Botanical Green Lab","US","Not Joined","Google","F272","","English","Retail","2026-07-12 15:27:09","2026-07-12 15:27:09","92","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F272.csv.gz"
"116785","BASE-K","US","Not Joined","Google","F291","","English","Retail","2026-07-12 13:57:14","2026-07-12 13:57:14","10","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F291.csv.gz"
"19475","Fila UK","GB","Not Joined","Google","F295","","English","Retail","2026-07-12 16:04:35","2026-07-12 16:04:35","18869","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F295.csv.gz"
"117119","kemoway","FR","Not Joined","Google","F306","","French","Retail","2026-07-12 15:27:23","2026-07-12 15:27:23","30","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F306.csv.gz"
"117121","kemoway","DE","Not Joined","Google","F307","","German","Retail","2026-07-08 15:18:47","2026-07-08 15:18:47","30","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F307.csv.gz"
"62729","Glamory","DE","Not Joined","Google","F309","","German","Retail","2026-07-12 15:38:26","2026-07-12 15:38:26","4","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F309.csv.gz"
"116307","GroundingTime","US","Not Joined","Google","F312","","English","Retail","2025-07-29 02:53:19","2025-07-29 02:53:19","10","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F312.csv.gz"
"117221","MakeID","US","Not Joined","Google","F329","","English","Retail","2026-07-08 15:22:04","2026-07-08 15:22:04","28","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F329.csv.gz"
"117395","Marketing program","US","Not Joined","Google","F349","","English","Retail","2026-07-12 14:41:17","2026-07-12 14:41:17","20","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F349.csv.gz"
"117317","NeuroScent","GB","Not Joined","Google","F382","","English","Retail","2026-07-08 15:14:09","2026-07-08 15:14:09","37","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F382.csv.gz"
"98651","FLOURISH","GB","Not Joined","Google","F407","","English","Retail","2026-04-20 05:56:44","2026-04-20 05:56:44","15","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F407.csv.gz"
"117477","buybeautykorea","US","Not Joined","Google","F432","","English","Retail","2026-07-12 15:23:04","2026-07-12 15:23:04","4407","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F432.csv.gz"
"113418","Belord","US","Not Joined","Google","F434","","English","Retail","2026-07-12 13:50:29","2026-07-12 13:50:29","5203","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F434.csv.gz"
"37282","Game Over","GB","Not Joined","Google","F441","","English","Retail","2026-07-12 15:25:09","2026-07-12 15:25:09","144","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F441.csv.gz"
"37292","Gardenista","GB","Not Joined","Google","F444","","English","Retail","2026-07-12 13:22:37","2026-07-12 13:22:37","2725","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F444.csv.gz"
"117671","No.98 Beauty","GB","Not Joined","Google","F453","","English","Retail","2026-07-12 14:47:46","2026-07-12 14:47:46","17","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F453.csv.gz"
"117801","UUNA TEK Affliate Program","US","Not Joined","Google","F457","","English","Retail","2026-07-12 16:05:19","2026-07-12 16:05:19","244","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F457.csv.gz"
"117741","Finitex","US","Not Joined","Google","F472","","English","Retail","2026-07-12 14:08:25","2026-07-12 14:08:25","454","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F472.csv.gz"
"117849","ZazzMode","US","Not Joined","Google","F473","","English","Retail","2026-07-08 15:16:17","2026-07-08 15:16:17","911","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F473.csv.gz"
"117899","The Brush & Broom","GB","Not Joined","Google","F477","","English","Retail","2026-07-12 14:47:57","2026-07-12 14:47:57","233","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F477.csv.gz"
"117777","Sunshare","DE","Not Joined","Google","F481","","German","Retail","2026-07-12 15:50:21","2026-07-12 15:50:21","260","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F481.csv.gz"
"117633","shopify","US","Not Joined","Google","F489","","English","Retail","2026-01-06 23:19:47","2026-01-06 23:19:47","19","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F489.csv.gz"
"24617","Raw Beauty Lab","GB","Not Joined","Google","F493","","English","Retail","2026-07-12 14:05:37","2026-07-12 14:05:37","23","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F493.csv.gz"
"30461","Parfümerie Brückner DE","DE","Not Joined","Google","F498","","German","Retail","2026-07-12 14:36:15","2026-07-12 14:36:15","7110","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F498.csv.gz"
"28367","So Divine","GB","Not Joined","Google","F507","","English","Retail","2026-07-12 15:02:15","2026-07-12 15:02:15","87","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F507.csv.gz"
"66586","Bad Shirt Club","GB","Not Joined","Google","F513","","English","Retail","2026-07-12 14:56:53","2026-07-12 14:56:53","4087","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F513.csv.gz"
"899","Fitness Options","GB","Not Joined","Google","F528","","English","Retail","2026-07-12 14:32:30","2026-07-12 14:32:30","56","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F528.csv.gz"
"106891","PrimeGarden DE","DE","Not Joined","Google","F540","","German","Retail","2025-10-27 22:43:28","2025-10-27 22:43:28","923","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F540.csv.gz"
"118201","Celebre Store","IT","Not Joined","Google","F564","","Italian","Retail","2026-07-12 14:29:24","2026-07-12 14:29:24","1656","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F564.csv.gz"
"118271","Framed Works","GB","Not Joined","Google","F590","","English","Retail","2026-07-08 06:08:10","2026-07-08 06:08:10","1137","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F590.csv.gz"
"118079","Baby Shusher","US","Not Joined","Google","F593","","English","Retail","2026-07-12 15:04:01","2026-07-12 15:04:01","24","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F593.csv.gz"
"57285","garden sanctuary.","TR","Not Joined","Google","F620","","English","Retail","2025-08-27 22:46:00","2025-08-27 22:46:00","37","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F620.csv.gz"
"118139","hansmaker Affiliate Program","US","Not Joined","Google","F625","","English","Retail","2026-04-10 07:02:36","2026-04-10 07:02:36","23","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F625.csv.gz"
"75796","Afewvibe LTD","US","Not Joined","Google","F689","","English","Retail","2026-07-12 12:33:41","2026-07-12 12:33:41","2939","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F689.csv.gz"
"107524","HongKong Caesar lmport &amp; Export Co., Limited","DE","Not Joined","Google","F721","","English","Retail","2026-07-12 14:55:41","2026-07-12 14:55:41","286","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F721.csv.gz"
"116843","StepMotech","GB","Not Joined","Google","F752","","English","Retail","2025-07-31 06:21:07","2025-07-31 06:21:07","1","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F752.csv.gz"
"17453","goettgen.de - Das grosse Schmuck und Uhrenportal","DE","Not Joined","Google","F759","","German","Retail","2026-07-12 15:15:27","2026-07-12 15:15:27","18196","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F759.csv.gz"
"96145","HCK REFRIGERATOR HI-TECH COMPANY LIMITED","DE","Not Joined","Google","F832","","German","Retail","2026-07-08 15:20:17","2026-07-08 15:20:17","13","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F832.csv.gz"
"118551","OLAOLA","US","Not Joined","Google","F835","","English","Retail","2026-07-12 13:29:39","2026-07-12 13:29:39","647","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F835.csv.gz"
"87175","Beyond Memories","US","Not Joined","Google","F918","","English","Retail","2026-07-12 13:32:16","2026-07-12 13:32:16","938","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F918.csv.gz"
"118511","Yeamon Beauty","US","Not Joined","Google","F932","","English","Retail","2026-07-12 16:05:48","2026-07-12 16:05:48","12","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F932.csv.gz"
"114444","Earkings NL","NL","Not Joined","Google","F951","","Dutch","Retail","2026-07-12 15:15:30","2026-07-12 15:15:30","184","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F951.csv.gz"
"107998","Cheap Furniture Warehouse","GB","Not Joined","Google","F970","","English","Retail","2026-07-12 13:12:39","2026-07-12 13:12:39","2564","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F970.csv.gz"
"51893","Watch Home Awin First","GB","Not Joined","Google","F983","","English","Retail","2026-07-12 16:02:35","2026-07-12 16:02:35","1267","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F983.csv.gz"
"114046","Cerqular","US","Not Joined","Google","F1028","","English","Retail","2026-07-12 13:42:40","2026-07-12 13:42:40","183893","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1028.csv.gz"
"119193","Mantra Flow","US","Not Joined","Google","F1063","","English","Retail","2026-07-12 14:44:59","2026-07-12 14:44:59","245","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1063.csv.gz"
"119297","RaysDanc home use IPL laser hair remover","US","Not Joined","Google","F1130","","English","Retail","2026-07-12 15:29:44","2026-07-12 15:29:44","5","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1130.csv.gz"
"119395","Fosi Audio","US","Not Joined","Google","F1133","","English","Retail","2026-07-12 14:47:14","2026-07-12 14:47:14","374","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1133.csv.gz"
"119365","Elenker","US","Not Joined","Google","F1180","","English","Retail","2026-07-12 15:06:49","2026-07-12 15:06:49","113","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1180.csv.gz"
"119037","Atelier De Glow","GB","Not Joined","Google","F1207","","English","Retail","2026-07-12 14:52:45","2026-07-12 14:52:45","703","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1207.csv.gz"
"119345","RumbleBox","DE","Not Joined","Google","F1219","","German","Retail","2026-07-12 15:37:21","2026-07-12 15:37:21","24","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1219.csv.gz"
"119387","NorthSky Supply","US","Not Joined","Google","F1259","","English","Retail","2026-07-12 16:03:26","2026-07-12 16:03:26","1347","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1259.csv.gz"
"119761","Yeloly","US","Not Joined","Google","F1303","","English","Retail","2026-07-12 16:06:48","2026-07-12 16:06:48","95","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1303.csv.gz"
"119513","Edify","US","Not Joined","Google","F1318","","English","Retail","2026-07-11 02:45:31","2026-07-11 02:45:31","29","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1318.csv.gz"
"119369","The BitJoy eSIM (US)","US","Not Joined","Google","F1335","","English","Retail","2026-07-12 12:16:35","2026-07-12 12:16:35","1759","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1335.csv.gz"
"119813","Will & Bear","AU","Not Joined","Google","F1339","","English","Retail","2026-04-27 21:56:54","2026-04-27 21:56:54","360","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1339.csv.gz"
"119703","Vatrer","US","Not Joined","Google","F1341","","English","Retail","2026-07-12 12:30:18","2026-07-12 12:30:18","577","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1341.csv.gz"
"112976","Brisks Outdoors","GB","Not Joined","Google","F1345","","English","Retail","2026-07-12 16:06:22","2026-07-12 16:06:22","1663","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1345.csv.gz"
"70402","Thesupermade Inc","US","Not Joined","Google","F1352","","English","Retail","2026-07-08 16:01:57","2026-07-08 16:01:57","10877","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1352.csv.gz"
"66912","Beyond Shakers","GB","Not Joined","Google","F1355","","English","Retail","2026-07-12 15:26:11","2026-07-12 15:26:11","66","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1355.csv.gz"
"45747","Craft Buddy Shop","GB","Not Joined","Google","F1356","","English","Retail","2026-07-12 14:56:53","2026-07-12 14:56:53","1380","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1356.csv.gz"
"67434","Car Audio Centre","GB","Not Joined","Google","F1406","","English","Retail","2026-07-08 15:44:54","2026-07-08 15:44:54","6570","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1406.csv.gz"
"119879","Lancer Camera Backpack","US","Not Joined","Google","F1413","","English","Retail","2026-07-12 12:53:24","2026-07-12 12:53:24","64","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1413.csv.gz"
"120193","Twist","US","Not Joined","Google","F1424","","English","Retail","2026-07-12 13:50:58","2026-07-12 13:50:58","171","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1424.csv.gz"
"120341","Ahipos Horses","DE","Not Joined","Google","F1484","","German","Retail","2026-07-12 14:45:45","2026-07-12 14:45:45","26","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1484.csv.gz"
"119683","Blooh","US","Not Joined","Google","F1517","","English","Retail","2026-07-11 15:57:15","2026-07-11 15:57:15","129","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1517.csv.gz"
"31213","Lir Pharmacy","IE","Not Joined","Google","F1519","","English","Retail","2026-07-12 15:39:09","2026-07-12 15:39:09","2684","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1519.csv.gz"
"120445","Stickalz – Car Graphics & Vehicle Decals","US","Not Joined","Google","F1542","","English","Retail","2026-07-12 13:42:59","2026-07-12 13:42:59","329692","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1542.csv.gz"
"120213","Flooring Monster","GB","Not Joined","Google","F1583","","English","Retail","2026-07-12 15:49:17","2026-07-12 15:49:17","1314","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1583.csv.gz"
"117883","Max Recovery Clothing","US","Not Joined","Google","F1587","","English","Retail","2026-07-12 13:53:42","2026-07-12 13:53:42","4","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1587.csv.gz"
"119757","Wellshave","NL","Not Joined","Google","F1611","","Dutch","Retail","2026-07-08 15:11:38","2026-07-08 15:11:38","50","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1611.csv.gz"
"118427","QUIKFLIP Hoodies convert to a backpack","DE","Not Joined","Google","F1625","","German","Retail","2026-07-12 15:28:14","2026-07-12 15:28:14","95","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1625.csv.gz"
"119901","Living with Luxury","GB","Not Joined","Google","F1644","","English","Retail","2026-07-08 15:54:24","2026-07-08 15:54:24","2379","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1644.csv.gz"
"102231","PartyPro NL","NL","Not Joined","Google","F1655","","Dutch","Retail","2026-07-12 13:07:49","2026-07-12 13:07:49","371","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1655.csv.gz"
"120435","Pixie Dixie","GB","Not Joined","Google","F1662","","English","Retail","2026-07-12 15:34:46","2026-07-12 15:34:46","133","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1662.csv.gz"
"120898","VSGO","US","Not Joined","Google","F1750","","English","Retail","2026-07-12 15:28:19","2026-07-12 15:28:19","279","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1750.csv.gz"
"120575","ASMAX","US","Not Joined","Google","F1756","","English","Retail","2026-07-08 15:14:37","2026-07-08 15:14:37","29","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1756.csv.gz"
"101327","KingRoon 3D Printer US closed 06.08.2025","US","Not Joined","Google","F1759","","English","Retail","2026-07-08 15:13:07","2026-07-08 15:13:07","2380","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1759.csv.gz"
"97753","UPPER Brand | Best Diaper Bag","US","Not Joined","Google","F1774","","English","Retail","2026-07-12 13:05:08","2026-07-12 13:05:08","150","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1774.csv.gz"
"45949","MASON New York Jewelry","US","Not Joined","Google","F1775","","English","Retail","2026-06-25 14:04:19","2026-06-25 14:04:19","450","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1775.csv.gz"
"120950","Mason & Madison Co. Jewelry - US","US","Not Joined","Google","F1776","","English","Retail","2026-07-12 14:15:14","2026-07-12 14:15:14","2","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1776.csv.gz"
"121112","Biobees","GB","Not Joined","Google","F1780","","English","Retail","2026-07-12 15:55:56","2026-07-12 15:55:56","3","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1780.csv.gz"
"121158","TouchBeauty","US","Not Joined","Google","F1789","","English","Retail","2026-05-21 05:33:10","2026-05-21 05:33:10","42","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1789.csv.gz"
"121156","YCZ Fragrance","US","Not Joined","Google","F1820","","English","Retail","2026-07-11 00:55:24","2026-07-11 00:55:24","61","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1820.csv.gz"
"87441","COCORO ES","ES","Not Joined","Google","F1825","","Spanish","Retail","2026-07-12 15:41:21","2026-07-12 15:41:21","368","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1825.csv.gz"
"121096","Juntos Affiliates","US","Not Joined","Google","F1827","","English","Retail","2026-07-12 14:43:13","2026-07-12 14:43:13","98","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1827.csv.gz"
"120890","Azomalli Tea","US","Not Joined","Google","F1829","","English","Retail","2026-07-12 12:59:54","2026-07-12 12:59:54","9","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1829.csv.gz"
"120451","JOLTBOLT","GB","Not Joined","Google","F1832","","English","Retail","2026-07-08 15:15:32","2026-07-08 15:15:32","21","https://ui.awin.com/productdata-darwin-download/publisher/2982087/2ea5f1e37d1253f0ad786fe5cd5ff0ef/1/feed/F1832.csv.gz"
